hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B02764,B02764,2021-01-01T08:02:10.000+08:00,2021-01-01T08:05:53.000+08:00,2021-01-01T08:06:49.000+08:00,2021-01-01T08:20:07.000+08:00,138,42,6.83,798,19.92,6.12,0.78,2.31,0.0,"",0.0,17.17,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:24:51.000+08:00,2021-01-01T08:25:12.000+08:00,2021-01-01T08:27:12.000+08:00,2021-01-01T08:47:00.000+08:00,42,182,6.96,1188,23.78,0.0,0.9,2.65,0.0,"",0.0,20.58,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:45:12.000+08:00,2021-01-01T08:50:12.000+08:00,2021-01-01T08:52:12.000+08:00,2021-01-01T09:06:40.000+08:00,250,32,2.39,868,15.94,0.0,0.48,1.41,0.0,"",0.0,12.85,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:17:35.000+08:00,"",2021-01-01T08:19:55.000+08:00,2021-01-01T08:32:17.000+08:00,50,244,6.185,742,17.08,0.0,0.51,1.52,2.75,"",0.0,13.08,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:31:10.000+08:00,"",2021-01-01T08:41:10.000+08:00,2021-01-01T08:53:11.000+08:00,244,116,2.341,721,20.23,0.0,0.61,1.8,0.0,"",0.0,9.92,N,N,N,N,N
HV0005,B02510,"",2021-01-01T08:52:28.000+08:00,"",2021-01-01T08:57:33.000+08:00,2021-01-01T09:10:19.000+08:00,116,168,2.423,766,15.39,0.0,0.46,1.37,0.0,"",0.0,9.1,N,N,N,N,N
HV0003,B02872,B02872,2021-01-01T08:12:05.000+08:00,2021-01-01T08:15:19.000+08:00,2021-01-01T08:17:19.000+08:00,2021-01-01T08:27:08.000+08:00,234,170,1.77,589,8.39,0.0,0.25,0.74,2.75,"",0.0,9.96,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:47:18.000+08:00,2021-01-01T08:50:27.000+08:00,2021-01-01T08:50:50.000+08:00,2021-01-01T09:00:05.000+08:00,66,4,3.85,555,13.87,0.0,0.42,1.23,2.75,"",0.0,11.97,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:16:19.000+08:00,2021-01-01T08:17:27.000+08:00,2021-01-01T08:18:42.000+08:00,2021-01-01T08:33:23.000+08:00,113,237,3.48,881,14.23,0.0,0.43,1.26,2.75,"",0.0,13.48,N,N,"",N,N
HV0003,B02764,B02764,2021-01-01T08:34:38.000+08:00,2021-01-01T08:36:27.000+08:00,2021-01-01T08:38:27.000+08:00,2021-01-01T08:48:48.000+08:00,237,107,2.77,621,13.01,0.0,0.39,1.15,2.75,"",0.0,9.07,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T08:09:15.000+08:00,2021-01-01T08:10:56.000+08:00,2021-01-01T08:12:14.000+08:00,2021-01-01T08:26:11.000+08:00,39,71,3.25,837,14.5,0.0,0.44,1.29,0.0,"",0.0,14.18,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T08:30:27.000+08:00,2021-01-01T08:34:52.000+08:00,2021-01-01T08:35:20.000+08:00,2021-01-01T08:44:08.000+08:00,91,89,1.45,528,6.33,0.0,0.19,0.56,0.0,"",0.0,9.6,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T08:43:01.000+08:00,2021-01-01T08:45:40.000+08:00,2021-01-01T08:46:07.000+08:00,2021-01-01T08:53:32.000+08:00,89,89,1.04,445,8.7,0.0,0.26,0.77,0.0,"",0.0,8.98,N,N,"",N,N
HV0003,B02682,B02682,2021-01-01T08:47:51.000+08:00,2021-01-01T08:58:40.000+08:00,2021-01-01T08:58:40.000+08:00,2021-01-01T09:04:40.000+08:00,165,165,1.66,360,9.44,0.0,0.28,0.84,0.0,"",0.0,10.38,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:33:58.000+08:00,2021-01-01T08:35:20.000+08:00,2021-01-01T08:37:20.000+08:00,2021-01-01T08:46:03.000+08:00,234,144,1.44,523,9.35,0.0,0.28,0.83,2.75,"",0.0,7.45,N,N,"",N,N
HV0003,B02872,B02872,2021-01-01T08:50:59.000+08:00,2021-01-01T08:56:32.000+08:00,2021-01-01T08:56:54.000+08:00,2021-01-01T09:23:17.000+08:00,87,7,10.58,1583,27.06,0.0,1.0,2.94,2.75,"",0.0,25.9,N,N,"",N,N
HV0005,B02510,"",2021-01-01T08:29:29.000+08:00,"",2021-01-01T08:32:47.000+08:00,2021-01-01T09:20:32.000+08:00,209,265,35.396,2865,75.67,4.5,2.41,0.0,0.0,"",0.0,67.44,N,N,N,N,N
HV0003,B02888,B02888,2021-01-01T08:11:41.000+08:00,2021-01-01T08:12:52.000+08:00,2021-01-01T08:14:30.000+08:00,2021-01-01T08:36:50.000+08:00,48,224,4.05,1340,16.95,0.0,0.51,1.5,2.75,"",0.0,25.07,N,N,"",N,Y
HV0003,B02888,B02888,2021-01-01T08:43:11.000+08:00,2021-01-01T08:44:32.000+08:00,2021-01-01T08:45:14.000+08:00,2021-01-01T08:51:02.000+08:00,229,140,1.02,348,7.91,0.0,0.24,0.7,2.75,"",0.0,11.74,N,N,"",N,Y
HV0003,B02888,B02888,2021-01-01T08:51:43.000+08:00,2021-01-01T08:56:13.000+08:00,2021-01-01T08:58:14.000+08:00,2021-01-01T09:05:29.000+08:00,262,263,1.0,435,10.83,0.0,0.32,0.96,2.75,"",0.0,15.28,N,N,"",N,Y
HV0005,B02510,"",2021-01-01T08:45:18.000+08:00,"",2021-01-01T08:47:11.000+08:00,2021-01-01T09:10:29.000+08:00,230,265,6.548,1398,20.62,20.0,1.04,0.0,0.0,"",0.0,20.22,N,N,N,N,N
HV0003,B02617,B02617,2021-01-01T08:13:52.000+08:00,2021-01-01T08:18:25.000+08:00,2021-01-01T08:19:00.000+08:00,2021-01-01T08:31:44.000+08:00,14,97,6.56,764,16.56,0.0,0.5,1.47,0.0,"",0.0,14.91,N,N,"",N,N
